         24986 function calls (24084 primitive calls) in 0.043 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     20/1    0.000    0.000    0.043    0.043 {built-in method builtins.exec}
        1    0.000    0.000    0.043    0.043 <string>:1(<module>)
        1    0.000    0.000    0.043    0.043 <frozen runpy>:201(run_module)
        1    0.000    0.000    0.042    0.042 <frozen runpy>:65(_run_code)
        1    0.000    0.000    0.042    0.042 compileall.py:1(<module>)
        1    0.000    0.000    0.029    0.029 compileall.py:315(main)
     32/6    0.000    0.000    0.023    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
     32/6    0.000    0.000    0.022    0.004 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     24/6    0.000    0.000    0.022    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
     17/6    0.000    0.000    0.021    0.004 <frozen importlib._bootstrap_external>:1021(exec_module)
    62/13    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        4    0.000    0.000    0.016    0.004 compileall.py:48(compile_dir)
      326    0.002    0.000    0.010    0.000 compileall.py:132(compile_file)
       18    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
       17    0.000    0.000    0.008    0.000 argparse.py:1440(add_argument)
        1    0.000    0.000    0.007    0.007 argparse.py:1765(__init__)
        1    0.000    0.000    0.007    0.007 __init__.py:1(<module>)
       17    0.000    0.000    0.007    0.000 argparse.py:2613(_get_formatter)
       17    0.000    0.000    0.007    0.000 argparse.py:162(__init__)
       18    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
 1019/330    0.001    0.000    0.006    0.000 compileall.py:25(_walk_dir)
       18    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
      362    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.004    0.004 py_compile.py:1(<module>)
       33    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       31    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
       31    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
       24    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     1069    0.003    0.000    0.003    0.000 {built-in method posix.stat}
    67/65    0.002    0.000    0.003    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.003    0.003 _local.py:1(<module>)
       81    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
        1    0.000    0.000    0.002    0.002 _abc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1319(create_module)
        5    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
      730    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
       41    0.000    0.000    0.002    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
      150    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
      480    0.000    0.000    0.002    0.000 <frozen genericpath>:48(isdir)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.002    0.002 glob.py:1(<module>)
        7    0.000    0.000    0.002    0.000 _compiler.py:743(compile)
      403    0.001    0.000    0.002    0.000 <frozen posixpath>:72(join)
       39    0.000    0.000    0.001    0.000 __init__.py:287(compile)
      362    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      330    0.000    0.000    0.001    0.000 <frozen genericpath>:36(isfile)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      132    0.001    0.000    0.001    0.000 {built-in method _io.open}
       82    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      327    0.000    0.000    0.001    0.000 <frozen posixpath>:166(basename)
      382    0.000    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 argparse.py:1(<module>)
        7    0.000    0.000    0.001    0.000 _compiler.py:576(_code)
        7    0.000    0.000    0.001    0.000 _parser.py:970(parse)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
      127    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.000    0.000    0.001    0.001 argparse.py:1897(parse_args)
     1597    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 argparse.py:1907(parse_known_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1910(_parse_known_args2)
     11/7    0.000    0.000    0.001    0.000 _parser.py:451(_parse_sub)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 argparse.py:1948(_parse_known_args)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
     1822    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
