import time: self [us] | cumulative | imported package
import time:       661 |        661 |   _io
import time:        78 |         78 |   marshal
import time:       915 |        915 |   posix
import time:      2029 |       3682 | _frozen_importlib_external
import time:       242 |        242 |   time
import time:       719 |        961 | zipimport
import time:       179 |        179 |     _codecs
import time:      1162 |       1340 |   codecs
import time:       792 |        792 |   encodings.aliases
import time:       957 |       3088 | encodings
import time:       267 |        267 | encodings.utf_8
import time:       208 |        208 | _signal
import time:       116 |        116 |     _abc
import time:       467 |        582 |   abc
import time:       535 |       1117 | io
import time:       114 |        114 |       _stat
import time:       290 |        403 |     stat
import time:      2437 |       2437 |     _collections_abc
import time:       160 |        160 |       errno
import time:       205 |        205 |       genericpath
import time:       313 |        677 |     posixpath
import time:      1214 |       4729 |   os
import time:       211 |        211 |   _sitebuiltins
import time:       447 |        447 |   sitecustomize
import time:        65 |         65 |   usercustomize
import time:      1260 |       6710 | site
import time:       441 |        441 |     importlib
import time:       430 |        871 |   importlib.machinery
import time:       298 |        298 |     importlib._abc
import time:       645 |        645 |     types
import time:       267 |       1209 |   importlib.util
import time:       284 |       2362 | runpy
import time:       326 |        326 |         itertools
import time:       217 |        217 |         keyword
import time:       161 |        161 |           _operator
import time:       631 |        791 |         operator
import time:       292 |        292 |         reprlib
import time:       133 |        133 |         _collections
import time:      2709 |       4467 |       collections
import time:       180 |        180 |       _functools
import time:      1792 |       6437 |     functools
import time:      3569 |      10006 |   enum
import time:       213 |        213 |     linecache
import time:       116 |        116 |           _sre
import time:       632 |        632 |             re._constants
import time:       850 |       1481 |           re._parser
import time:       198 |        198 |           re._casefix
import time:       585 |       2378 |         re._compiler
import time:       249 |        249 |         copyreg
import time:       903 |       3529 |       re
import time:      1965 |       5494 |     textwrap
import time:       702 |        702 |     warnings
import time:      3084 |       3084 |     contextlib
import time:       371 |        371 |       __future__
import time:       536 |        906 |     _colorize
import time:      1950 |      12346 |   traceback
import time:      1154 |      23505 | py_compile
import time:       656 |        656 |   _struct
import time:       327 |        983 | struct
import time:      1214 |       1214 | filecmp
import time:       378 |        378 |       fnmatch
import time:      1248 |       1626 |     glob
import time:      1492 |       3118 |   pathlib._abc
import time:       147 |        147 |       _winapi
import time:       111 |        111 |       nt
import time:        93 |         93 |       nt
import time:        91 |         91 |       nt
import time:        85 |         85 |       nt
import time:        86 |         86 |       nt
import time:        84 |         84 |       nt
import time:        84 |         84 |       nt
import time:       634 |       1410 |     ntpath
import time:        80 |         80 |     pwd
import time:       490 |        490 |     grp
import time:      1646 |       3624 |   pathlib._local
import time:       289 |       7030 | pathlib
import time:      1295 |       1295 |   gettext
import time:      3673 |       4967 | argparse
import time:       138 |        138 |   _locale
import time:      1675 |       1813 | locale
import time:       826 |        826 |   zlib
import time:       392 |        392 |     _compression
import time:       609 |        609 |     _bz2
import time:       512 |       1511 |   bz2
import time:       701 |        701 |     _lzma
import time:       508 |       1209 |   lzma
import time:      1572 |       5117 | shutil
